"b1-nummer","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","functie","bijzondere functie(s)","post(en) in kabinet(ten)","naam kabinet(ten)","begin periode","einde periode","url"
"02408","Blom","L.","","Luuk","","m","PvdA","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpncfzr"
"02409","Smeets","P.E.","Pauline Elisabeth","Pauline","","v","PvdA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnc5zq"
"02409","Smeets","P.E.","Pauline Elisabeth","Pauline","","v","PvdA","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnc5zq"
"02409","Smeets","P.E.","Pauline Elisabeth","Pauline","","v","PvdA","2e kamerlid","","","","2010-06-17","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnc5zq"
"02410","Griffith","L.J.","Laetitia Juliette","Laetitia","","v","VVD","2e kamerlid","","","","2003-01-30","2005-06-02","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnw4zu"
"02410","Griffith","L.J.","Laetitia Juliette","Laetitia","","v","VVD","2e kamerlid","","","","2006-06-01","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnw4zu"
"02410","Griffith","L.J.","Laetitia Juliette","Laetitia","","v","VVD","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnw4zu"
"02411","Hirsi Ali","A.","Ayaan","Ayaan","","v","VVD","2e kamerlid","","","","2003-01-30","2006-05-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnwfzv"
"02412","Aptroot","Ch.B.","Charlie Bernard","Charlie","","m","VVD","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnvhzs"
"02412","Aptroot","Ch.B.","Charlie Bernard","Charlie","","m","VVD","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnvhzs"
"02412","Aptroot","Ch.B.","Charlie Bernard","Charlie","","m","VVD","2e kamerlid","","","","2010-06-17","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnvhzs"
"02413","Miltenburg","A.","Anouchka","Anouchka","van","v","","voorzitter Tweede Kamer der Staten-Generaal","","","","2012-09-25","2015-12-12","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnvtzt"
"02413","Miltenburg","A.","Anouchka","Anouchka","van","v","VVD","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnvtzt"
"02413","Miltenburg","A.","Anouchka","Anouchka","van","v","VVD","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnvtzt"
"02413","Miltenburg","A.","Anouchka","Anouchka","van","v","VVD","2e kamerlid","","","","2010-06-17","2012-09-19","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnvtzt"
"02413","Miltenburg","A.","Anouchka","Anouchka","van","v","VVD","2e kamerlid","","","","2012-09-20","","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnvtzt"
"02414","Krom","P.","Paul","Paul","de","m","VVD","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnwzzx"
"02414","Krom","P.","Paul","Paul","de","m","VVD","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnwzzx"
"02414","Krom","P.","Paul","Paul","de","m","VVD","2e kamerlid","","","","2010-06-17","2010-10-13","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnwzzx"
"02414","Krom","P.","Paul","Paul","de","m","VVD","staatssecretaris","","Sociale Zaken en Werkgelegenheid","eerste kabinet-Rutte","2010-10-14","2012-11-04","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnwzzx"
"02415","Schippers","E.I.","Edith Ingeborg","Edith","","v","VVD","2e kamerlid","","","","2003-06-03","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnx6zy"
"02415","Schippers","E.I.","Edith Ingeborg","Edith","","v","VVD","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnx6zy"
"02415","Schippers","E.I.","Edith Ingeborg","Edith","","v","VVD","2e kamerlid","","","","2010-06-17","2010-10-13","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnx6zy"
"02415","Schippers","E.I.","Edith Ingeborg","Edith","","v","VVD","2e kamerlid","","","","2012-09-20","2012-11-04","http://www.parlementairdocumentatiecentrum.nl/id/vge7dtpnx6zy"
