Source	Target	date_in	date_out	rubriek
15594	15423	2007-06-12	2011-06-06	-9
15598	15423	2001-05-29	2002-05-22	-9
15598	15423	2002-05-23	2003-01-29	-9
15598	15423	2003-01-30	2006-11-29	-9
15598	15423	2006-11-30	2010-06-16	-9
15598	15423	2010-06-17	2012-09-19	-9
15604	15423	2002-05-23	2003-01-29	-9
15604	15423	2003-05-21	2006-11-29	-9
15604	15423	2008-05-13	2008-08-16	-9
15604	15423	2008-09-03	2010-06-16	-9
15606	15423	2002-05-23	2003-01-29	-9
15606	15423	2003-01-30	2006-11-29	-9
15606	15423	2006-11-30	2010-06-16	-9
15606	15423	2010-10-26	2012-09-19	-9
15610	15423	2002-07-26	2003-01-29	-9
15610	15423	2003-01-30	2006-11-29	-9
15610	15423	2009-09-01	2010-06-16	-9
15612	15423	2002-05-23	2003-01-29	-9
15612	15423	2003-01-30	2006-11-29	-9
15612	15423	2006-11-30	2010-06-16	-9
15612	15423	2010-06-17	2012-09-19	-9
15614	15423	2002-05-23	2002-07-21	-9
15614	15423	2003-01-30	2003-05-26	-9
15614	15423	2006-11-30	2010-06-16	-9
15614	15423	2006-07-07	2007-02-21	-9
15614	15423	2002-07-22	2003-05-26	-9
15614	15423	2003-05-27	2006-07-06	-9
15617	15423	2002-05-23	2003-01-29	-9
15617	15423	2003-01-30	2006-11-29	-9
15617	15423	2006-11-30	2010-06-16	-9
15617	15423	2012-09-20		-9
15617	15423	2010-06-17	2012-09-19	-9
15619	15423	2002-05-23	2003-01-29	-9
15619	15423	2003-01-30	2006-11-29	-9
15623	15423	2002-05-23	2003-01-29	-9
15623	15423	2003-01-30	2006-11-29	-9
15623	15423	2006-11-30	2010-06-16	-9
15623	15423	2012-01-17	2012-04-22	-9
15625	15423	2002-05-23	2003-01-29	-9
15625	15423	2003-01-30	2006-11-29	-9
15625	15423	2006-11-30	2010-06-16	-9
15625	15423	2010-06-17	2012-09-19	-9
15626	15423	2002-05-23	2003-01-29	-9
15626	15423	2003-01-30	2006-11-29	-9
15626	15423	2006-11-30	2008-09-02	-9
15630	15423	2002-05-23	2003-01-29	-9
15630	15423	2003-01-30	2006-11-29	-9
15631	15423	2002-05-23	2003-01-29	-9
15631	15423	2003-01-30	2006-11-29	-9
15631	15423	2006-11-30	2010-06-16	-9
15632	15423	2002-06-11	2003-01-29	-9
15632	15423	2003-01-30	2006-11-29	-9
15632	15423	2006-11-30	2010-06-16	-9
15636	15423	2002-05-23	2003-01-29	-9
15636	15423	2003-01-30	2006-11-29	-9
15636	15423	2006-11-30	2008-04-07	-9
15636	15423	2008-07-29	2010-06-16	-9
15636	15423	2010-06-17	2012-09-19	-9
15644	15423	2002-05-23	2003-01-29	-9
15644	15423	2003-01-30	2006-11-29	-9
15644	15423	2006-11-30	2008-04-26	-9
15644	15423	2008-08-17	2010-06-16	-9
15649	15423	2002-07-26	2003-01-29	-9
15649	15423	2003-06-03	2006-11-29	-9
15649	15423	2006-11-30	2010-06-16	-9
15664	15423	2002-05-23	2003-01-29	-9
15664	15423	2003-01-30	2006-11-29	-9
15664	15423	2006-11-30	2010-06-16	-9
15664	15423	2010-06-17	2012-09-19	-9
15665	15423	2002-05-23	2003-01-29	-9
15665	15423	2003-01-30	2006-11-29	-9
15666	15423	2002-05-23	2003-01-29	-9
15666	15423	2003-01-30	2006-11-29	-9
15666	15423	2006-11-30	2009-03-09	-9
15667	15423	2002-05-23	2003-01-29	-9
15667	15423	2003-01-30	2006-11-29	-9
15667	15423	2006-11-30	2010-06-16	-9
15667	15423	2011-12-16	2012-11-04	-9
15668	15423	2002-05-23	2003-01-29	-9
15668	15423	2003-01-30	2006-11-29	-9
15668	15423	2007-03-01	2010-06-16	-9
15669	15423	2002-05-23	2003-01-29	-9
15669	15423	2003-01-30	2006-11-29	-9
15669	15423	2006-11-30	2010-06-16	-9
15670	15423	2002-05-23	2003-01-29	-9
15670	15423	2003-01-30	2006-11-29	-9
15671	15423	2002-05-23	2003-01-29	-9
15671	15423	2003-01-30	2006-11-29	-9
15671	15423	2006-11-30	2010-06-16	-9
15672	15423	2002-05-23	2003-01-29	-9
15672	15423	2003-01-30	2005-10-10	-9
15676	15423	2006-11-30	2007-02-21	-9
15676	15423	2010-10-14	2011-12-15	-9
15676	15423	2006-07-07	2006-09-20	-9
15676	15423	2002-07-22	2003-05-26	-9
15676	15423	2003-05-27	2006-07-06	-9
15676	15423	2007-02-22	2010-02-22	-9
15676	15423	2010-02-23	2010-10-13	-9
15681	15423	2002-07-26	2003-01-29	-9
15681	15423	2003-06-03	2006-11-29	-9
15681	15423	2009-12-15	2010-06-16	-9
15682	15423	2002-07-26	2003-01-29	-9
15682	15423	2003-06-03	2006-11-29	-9
15688	15423	2006-07-07	2007-02-21	-9
15688	15423	2002-07-22	2003-05-26	-9
15688	15423	2003-05-27	2006-07-06	-9
15688	15423	2002-10-16	2003-05-26	-9
15689	15423	2006-07-07	2007-02-21	-9
15689	15423	2003-07-01	2006-07-06	-9
15689	15423	2002-07-22	2003-05-26	-9
15689	15423	2003-05-27	2003-06-30	-9
15692	15423	2002-07-26	2003-01-29	-9
15692	15423	2003-01-30	2006-11-29	-9
15692	15423	2006-11-30	2010-06-16	-9
15692	15423	2010-10-26	2012-09-19	-9
15693	15423	2002-07-26	2003-01-29	-9
15693	15423	2003-06-03	2006-06-06	-9
15694	15423	2002-07-26	2003-01-29	-9
15694	15423	2003-06-03	2006-11-29	-9
15694	15423	2008-01-23	2010-06-16	-9
15694	15423	2010-06-17	2012-09-19	-9
15714	15423	2003-06-03	2006-11-29	-9
15715	15423	2003-06-03	2006-11-29	-9
15715	15423	2006-11-30	2010-06-16	-9
15715	15423	2010-10-26	2012-09-19	-9
15715	15423	2012-09-20		-9
15716	15423	2003-09-02	2006-11-29	-9
15716	15423	2006-11-30	2010-06-16	-9
15716	15423	2010-06-17	2012-09-19	-9
15716	15423	2012-09-20	2014-11-11	-9
15734	15423	1994-05-17	1998-05-18	-9
15734	15423	1998-05-19	2002-05-22	-9
15734	15423	2002-05-23	2002-07-21	-9
15734	15423	2003-01-30	2003-05-26	-9
15734	15423	2006-07-07	2007-02-21	-9
15734	15423	2003-05-27	2006-07-06	-9
15734	15423	2002-07-22	2003-05-26	-9
15741	15423	1994-05-17	1998-05-18	-9
15741	15423	1998-05-19	2002-05-22	-9
15757	15423	2003-06-10	2005-04-18	-9
15757	15423	1994-05-17	1998-05-18	-9
15800	15423	1995-04-26	1998-05-18	-9
15801	15423	1995-06-07	1998-05-18	-9
15805	15423	1995-12-05	1998-05-18	-9
15805	15423	2001-06-26	2002-05-22	-9
15805	15423	2002-05-23	2003-01-29	-9
15805	15423	2003-01-30	2006-11-29	-9
15805	15423	2006-11-30	2010-06-16	-9
15807	15423	1996-10-08	1998-05-18	-9
15807	15423	1998-05-19	2002-05-22	-9
15807	15423	2002-05-23	2003-01-29	-9
15807	15423	2003-01-30	2003-08-31	-9
15810	15423	2002-03-05	2002-05-22	-9
15810	15423	2004-08-31	2006-11-29	-9
15810	15423	2007-03-01	2010-06-16	-9
15812	15423	2006-06-07	2006-11-29	-9
15812	15423	2007-03-01	2010-06-16	-9
15817	15423	1994-05-17	1996-11-30	-9
15818	15423	1995-06-13	1999-06-07	-9
15818	15423	1999-06-08	2003-06-09	-9
15818	15423	2003-06-10	2007-06-11	-9
15818	15423	2007-06-12	2011-06-06	-9
15822	15423	1997-09-02	1998-05-18	-9
15824	15423	1994-05-17	1998-05-18	-9
15826	15423	1994-05-17	1998-05-18	-9
15830	15423	1994-05-18	1998-05-18	-9
15834	15423	2015-06-09		-9
15840	15423	1994-05-17	1998-05-18	-9
15847	15423	1995-06-13	1999-06-07	-9
15860	15423	2011-06-07	2015-06-08	-9
15860	15423	2015-06-09		-9
15863	15423	1994-05-17	1998-05-18	-9
15869	15423	2003-06-10	2007-06-11	-9
15870	15423	1995-06-13	1999-06-07	-9
15877	15423	1994-05-17	1998-05-18	-9
15877	15423	1998-05-19	2002-05-22	-9
15877	15423	2002-05-23	2003-01-29	-9
15877	15423	2003-01-30	2006-11-29	-9
15877	15423	2006-11-30	2009-07-13	-9
15878	15423	1994-05-17	1998-05-18	-9
15880	15423	1994-05-17	1998-05-18	-9
15880	15423	1998-05-19	2002-05-22	-9
15880	15423	2002-07-22	2003-05-26	-9
15880	15423	2003-05-27	2003-12-02	-9
15881	15423	1997-04-15	1998-05-18	-9
15881	15423	1998-05-19	2002-05-22	-9
15887	15423	2003-06-10	2004-09-27	-9
15887	15423	1994-05-17	1998-05-18	-9
15889	15423	2003-06-10	2007-06-11	-9
15889	15423	2007-06-12	2011-06-06	-9
15889	15423	2011-06-07	2015-06-08	-9
15889	15423	1994-05-17	1998-05-18	-9
15893	15423	1994-05-17	1997-04-08	-9
15894	15423	1994-05-17	1996-09-19	-9
15895	15423	1994-05-17	1998-05-18	-9
15896	15423	1994-05-17	1998-05-18	-9
15896	15423	1998-05-19	2002-05-22	-9
15897	15423	1994-05-17	1998-05-18	-9
15897	15423	1998-05-19	2001-06-11	-9
15898	15423	1994-05-17	1997-08-31	-9
15900	15423	1995-06-13	1999-06-07	-9
15900	15423	1999-06-08	2003-06-09	-9
15901	15423	1995-06-13	1999-06-07	-9
15902	15423	1995-06-13	1999-06-07	-9
15902	15423	1999-06-08	2003-06-09	-9
15903	15423	1995-06-13	1999-06-07	-9
15908	15423	1995-06-13	1999-06-07	-9
15912	15423	1995-06-13	1999-06-07	-9
15912	15423	1999-06-08	2003-06-09	-9
15912	15423	2003-06-10	2007-06-11	-9
15916	15423	1995-06-13	1999-06-07	-9
15919	15423	1995-06-13	1999-06-07	-9
15919	15423	1999-06-08	2003-06-09	-9
15922	15423	1994-05-17	1998-05-18	-9
15922	15423	1998-05-19	2002-05-22	-9
15922	15423	2002-05-23	2002-07-21	-9
15922	15423	2003-01-30	2003-05-26	-9
15922	15423	2006-11-30	2007-02-21	-9
15922	15423	2007-02-22	2010-02-22	-9
15922	15423	2010-02-23	2010-10-13	-9
15922	15423	2006-07-07	2007-02-21	-9
15922	15423	2002-07-22	2003-05-26	-9
15922	15423	2003-05-27	2006-07-06	-9
15923	15423	1994-05-17	1998-05-18	-9
15923	15423	1998-05-19	2002-01-31	-9
15923	15423	2010-10-14	2011-12-15	-9
15923	15423	2011-12-16	2012-11-04	-9
15924	15423	1994-05-17	1998-05-18	-9
15926	15423	2007-03-06	2007-06-11	-9
15927	15423	2007-06-12	2010-10-13	-9
15927	15423	1994-05-17	1998-05-18	-9
15927	15423	1998-05-19	2002-05-22	-9
15927	15423	2010-10-14	2012-11-04	-9
15931	15423	1998-05-19	2001-04-26	-9
15932	15423	1995-06-13	1999-06-07	-9
15935	15423	1994-05-17	1998-05-18	-9
15944	15423	1996-12-03	1998-05-18	-9
15944	15423	1998-05-19	2002-05-22	-9
15944	15423	2002-05-23	2003-01-29	-9
15944	15423	2003-01-30	2006-11-29	-9
15946	15423	1994-05-17	1998-05-18	-9
15946	15423	1998-05-19	2002-05-22	-9
15946	15423	2006-11-30	2007-02-21	-9
15946	15423	2002-05-23	2003-01-29	-9
15946	15423	2003-01-30	2006-11-29	-9
15946	15423	2010-06-17	2010-10-13	-9
15946	15423	2007-02-22	2010-02-22	-9
15946	15423	2010-10-14	2012-11-04	-9
15946	15423	2010-02-23	2010-10-13	-9
15950	15423	1995-06-13	1999-06-07	-9
15950	15423	1999-06-08	2003-06-09	-9
15971	15423	1998-06-16	1999-06-07	-9
15973	15423	1995-06-13	1999-06-07	-9
15973	15423	1999-06-08	2000-10-31	-9
15973	15423	2010-02-23	2010-10-13	-9
15973	15423	2006-09-22	2007-02-21	-9
15973	15423	2007-02-22	2010-02-22	-9
15980	15423	1994-05-17	1998-05-18	-9
15980	15423	1998-05-19	2001-01-15	-9
15980	15423	2010-06-17	2010-12-31	-9
15980	15423	2007-02-22	2010-02-22	-9
15980	15423	2010-02-23	2010-10-13	-9
15987	15423	1994-05-17	1998-05-18	-9
15993	15423	2000-11-14	2003-06-09	-9
15993	15423	2003-06-10	2007-06-11	-9
15997	15423	2006-11-30	2008-09-02	-9
15997	15423	2006-07-07	2007-02-21	-9
15997	15423	2003-05-27	2006-07-06	-9
16003	15423	2003-06-10	2007-06-11	-9
16007	15423	2003-06-10	2007-06-11	-9
16007	15423	2007-06-12	2011-06-06	-9
16007	15423	2011-06-07	2015-06-08	-9
16012	15423	2003-06-10	2007-02-21	-9
16012	15423	2010-06-17	2010-09-06	-9
16012	15423	2007-02-22	2010-02-22	-9
16012	15423	2010-02-23	2010-10-13	-9
16013	15423	2003-06-10	2007-06-11	-9
16013	15423	2007-06-12	2011-06-06	-9
16015	15423	2003-06-10	2007-06-11	-9
16016	15423	2005-05-10	2007-06-11	-9
16019	15423	2006-07-07	2007-02-21	-9
